"Identificador de la publicación","Enlace permanente","Mensaje de la publicación",Tipo,Países,Idiomas,Publicado,"Segmentación del público","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks"
111412183925455_162679088798764,https://www.facebook.com/sjjersey/posts/162679088798764,"Aprovecha el 15% DE DESCUENTO en Tejidos con acabado Antifluido. Protección, versatilidad y moda.",Photo,,,"09/17/2020 01:21:43 PM"," ",1275,1275,0,1506,1506,0,67,40,44,0,0,521,398,0,0,29,0,0,0,0,0,0,0,0,0,0,10,30,,23,46,,29,13,,,31,13,,,,,,
111412183925455_162275515505788,https://www.facebook.com/sjjersey/posts/162275515505788,"La Alcaldía de Cotacachi y SJ JERSEY, compartiendo ideas de responsabilidad social, cuidado del medio ambiente y apoyo a la industria textil ecuatoriana",Photo,,,"09/16/2020 06:26:23 AM"," ",1652,1652,0,1905,1905,0,86,47,53,0,0,799,653,0,0,54,0,0,0,0,0,0,0,0,0,0,15,46,1,16,48,1,13,38,,,13,40,,,,,,
111412183925455_160281859038487,https://www.facebook.com/sjjersey/posts/160281859038487,"Tela para campaña. 
50% más de rendimiento.
8 camisetas por cada kilo de tela SJ JERSEY
#JERSEYesCALIDAD",Photo,,,"09/14/2020 06:00:00 PM"," ",2757,2757,0,3245,3245,0,160,114,137,0,0,818,658,0,0,49,0,0,0,0,0,0,0,0,0,0,9,44,18,52,53,25,94,27,,,109,28,,,,,,
111412183925455_159912019075471,https://www.facebook.com/sjjersey/posts/159912019075471,"SJ JERSEY. Tela Antifluído",Photo,,,"09/13/2020 06:00:41 PM"," ",977,977,0,1098,1098,0,28,15,17,0,0,594,527,0,0,23,0,0,0,0,0,0,0,0,0,0,2,13,,3,14,,8,7,,,10,7,,,,,,
111412183925455_159910785742261,https://www.facebook.com/sjjersey/posts/159910785742261,"SJ JERSEY &amp; MG, marcas de tradición. 
Tejido antifluído",Photo,,,"09/12/2020 05:00:55 PM"," ",1193,1193,0,1399,1399,0,32,11,13,0,0,655,555,0,0,29,0,0,0,0,0,0,0,0,0,0,6,20,,7,22,,5,7,,,6,7,,,,,,
111412183925455_159910429075630,https://www.facebook.com/sjjersey/posts/159910429075630,"Audi, marca premium, protege a sus colaboradores con mascarillas confeccionadas de tela ANTIFLUIDO SJ JERSEY",Photo,,,"09/11/2020 05:00:24 PM"," ",1011,1011,0,1143,1143,0,31,11,11,0,0,635,552,0,0,24,0,0,0,0,0,0,0,0,0,0,3,21,,3,21,,3,8,,,3,8,,,,,,
111412183925455_159909939075679,https://www.facebook.com/sjjersey/posts/159909939075679,"Colaboradores del icónico restaurante VISTA HERMOSA, recibieron mascarillas 100% nacionales con tela ANTIFLUÍDO SJ JERSEY",Photo,,,"09/10/2020 05:00:52 PM"," ",1031,1031,0,1179,1179,0,33,16,20,0,0,509,444,0,0,24,0,0,0,0,0,0,0,0,0,0,9,18,,10,23,,5,13,,,7,13,,,,,,
111412183925455_160541545679185,https://www.facebook.com/sjjersey/posts/160541545679185,"Aprovecha el 15% DE DESCUENTO en Tejidos con acabado Antifluido. Protección, versatilidad y moda.",Photo,,,"09/10/2020 05:00:21 PM"," ",980,980,0,1124,1124,0,24,5,6,0,0,466,392,0,0,17,0,0,0,0,0,0,0,0,0,0,8,12,3,8,15,5,1,5,,,1,5,,,,,,
111412183925455_160265805706759,https://www.facebook.com/sjjersey/posts/160265805706759,"Tela para campaña. 
El mejor rendimiento! 
*Aproximadamente 8 camisetas por cada kilogramo de tela
El mejor rendimiento con la calidad de siempre #JERSEYesCALIDAD",Photo,,,"09/09/2020 05:34:46 PM"," ",14334,14334,0,18106,18106,0,776,674,862,0,0,2106,1483,0,0,171,0,0,0,0,0,0,0,0,0,0,17,114,89,73,148,108,585,129,,,731,131,,,,,,
111412183925455_159909059075767,https://www.facebook.com/sjjersey/posts/159909059075767,"Jose Toledo, reconocido periodista, utiiliza mascarillas fabricadas con tela antifluído SJJERSEY 100% nacional.",Photo,,,"09/09/2020 05:00:51 PM"," ",1138,1138,0,1244,1244,0,32,12,13,1,1,565,504,0,0,21,0,0,0,0,0,0,0,0,0,0,7,20,,7,21,,3,9,,,4,9,,,1,,1,
111412183925455_159908302409176,https://www.facebook.com/sjjersey/posts/159908302409176,"Rafael Cuesta Caputti,  recibió mascarillas confeccionadas por manos ecuatorianas con tela ANTIFLUIDO SJ JERSEY",Photo,,,"09/08/2020 05:00:47 PM"," ",945,945,0,1067,1067,0,22,13,14,0,0,512,443,0,0,20,0,0,0,0,0,0,0,0,0,0,6,11,,6,17,,4,9,,,4,10,,,,,,
111412183925455_157800729286600,https://www.facebook.com/sjjersey/posts/157800729286600,"Los tejidos lycrados están en oferta hasta el 1 de octubre. 12% Dcto. en pagos al contado. *Aplican restricciones.",Photo,,,"09/01/2020 06:16:44 PM"," ",1314,1314,0,1574,1574,0,48,23,24,0,0,499,403,0,0,25,0,0,0,0,0,0,0,0,0,0,10,14,4,11,22,5,12,11,,,13,11,,,,,,
111412183925455_157727839293889,https://www.facebook.com/sjjersey/posts/157727839293889,"Extendemos nuestro descuento hasta el 1 de Octubre en pagos al contado. 

*Aplican restricciones",Photo,,,"09/01/2020 12:33:35 PM"," ",2988,2988,0,3480,3480,0,105,67,78,0,0,770,625,0,0,38,0,0,0,0,0,0,0,0,0,0,18,36,2,25,57,2,50,21,,,57,21,,,,,,
111412183925455_154294979637175,https://www.facebook.com/sjjersey/posts/154294979637175,"No se pierdan la entrevista a nuestro Gerente General Dr Gilberto Valderrábano. 

Gracias a Plus Tv - Riobamba por el espacio! 

#Riobamba #antifluido #CalidadQueTeProtege #tejidodepunto",SharedVideo,,,"08/21/2020 07:16:35 PM"," ",934,934,0,1082,1082,0,33,23,31,0,0,645,551,0,0,33,0,0,0,0,143,168,0,0,0,2081770,,13,,,13,,23,,,,31,,,,,,,
111412183925455_154287066304633,https://www.facebook.com/sjjersey/posts/154287066304633,"No se pierdan la entrevista a nuestro Gerente General Dr. Gilberto Valderrábano. 

Gracias por el espacio a Radio Hola 98.9 Fm",SharedVideo,,,"08/21/2020 06:35:31 PM"," ",754,754,0,862,862,0,19,12,14,0,0,515,438,0,0,18,0,0,0,0,101,104,0,0,0,1873201,,10,,,11,,12,,,,14,,,,,,,
111412183925455_150806379986035,https://www.facebook.com/sjjersey/posts/150806379986035,"[BLOG] Los cuidados de la mascarilla

Te invitamos a leer este artículo donde explica la OMS como usar, confeccionar y los cuidados de las mascarillas de tela.

Leer más: https://bit.ly/3gUpBqA

😷 Pensemos en el día después del COVID. 

#SjJersey #CalidadQueTeProtege #HechoEnEcuador #PostCOVID",Photo,,,"08/11/2020 12:32:02 PM"," ",1470,1470,0,1785,1785,0,39,29,36,0,0,752,584,0,0,28,0,0,0,0,0,0,0,0,0,0,7,13,,8,14,,6,26,2,,8,26,2,,,,,
111412183925455_149515296781810,https://www.facebook.com/sjjersey/posts/149515296781810,"‼️Aprovecha el 12% de DESCUENTO en pagos al contado en todos nuestros productos LYCRADOS llanos y estampados‼️

Descuentos especiales en pagos con tarjetas de crédito.
¡Difiérelos a 3 y 6 meses plazo sin intereses!

Promoción válida hasta el 1 de septiembre de 2020. 

 *Aplica condiciones
#CalidadQueTeProtege #HechoEnEcuador #PrecioJusto",Photo,,,"08/08/2020 07:44:18 AM"," ",3854,3854,0,4734,4734,0,146,106,135,0,0,1557,1090,0,0,77,0,0,0,0,0,0,0,0,0,0,16,47,11,29,64,16,85,27,,,107,28,,,,,,
111412183925455_149275796805760,https://www.facebook.com/sjjersey/posts/149275796805760,"Te invitamos a ver la entrevista de nuestro Gerente General Gilberto Valderrábano desde Radio Sucre 700 AM #SjJersey #CalidadQueTeProtege",SharedVideo,,,"08/07/2020 04:34:15 PM"," ",775,775,0,899,899,0,11,10,10,0,0,464,401,0,0,10,0,0,0,0,96,106,0,0,0,6479872,,1,,,1,,10,,,,10,,,,,,,
111412183925455_148133223586684,https://www.facebook.com/sjjersey/posts/148133223586684,"Gracias por la recomendación Andrea Macías  y sobre todo, por impulsar la tela hecha en #Ecuador y a los emprendedores.

#CalidadQueTeProtege #SjJersey  #HechoenEcuador🇪🇨 #TelasAntifluido #TelaEcológica #Tela #confeccion",Video,,,"08/04/2020 04:09:03 PM"," ",1083,1083,0,1480,1480,0,47,24,26,0,0,645,433,0,0,30,64,66,0,0,319,359,0,0,5827,25984,9,20,,13,21,,18,,,7,19,,,7,,,,
111412183925455_147979273602079,https://www.facebook.com/sjjersey/posts/147979273602079,"!LA MASCARILLA! AHORA ES PARTE DE TI!
Piensa en tu seguridad y en la de todos!
Sigue las normas de higiene recomendadas por la #OMS

 !Usa mascarillas de tejido de punto antifluido #SjJersey! 😷 Pensemos en el día después #PostCOVID
 
 #CalidadQueTeProtege #HechoEnEcuador",Photo,,,"08/04/2020 07:13:42 AM"," ",756,756,0,949,949,0,17,7,8,0,0,424,326,0,0,14,0,0,0,0,0,0,0,0,0,0,4,9,,6,9,,2,6,,,2,6,,,,,,
111412183925455_147774580289215,https://www.facebook.com/sjjersey/posts/147774580289215,"Extendemos nuestra PROMOCIÓN
10% de DESCUENTO en pagos de contado.

Rebajas especiales en pagos con tarjetas de crédito. ¡Difiérelos a 3 y 6 meses sin intereses!

*Aplica condiciones

#CalidadQueTeProtege #HechoEnEcuador #PrecioJusto",Photo,,,"08/03/2020 04:45:38 PM"," ",2009,2009,0,2406,2406,0,66,28,33,1,1,811,668,0,0,43,0,0,0,0,0,0,0,0,0,0,23,31,3,26,36,3,15,15,,,18,15,,,,1,,1
111412183925455_146595597073780,https://www.facebook.com/sjjersey/posts/146595597073780,"!Usa tu mascarilla! !Reduce el riesgo de contagio!
Con los tejidos de punto JERSEY se fabrica mascarillas reutilizables y lavables!

😷Pensemos en el día después del COVID.
#SjJersey #CalidadQueTeProtege #HechoEnEcuador #PostCOVID",Video,,,"07/31/2020 04:27:46 PM"," ",1016,1016,0,1300,1300,0,44,24,26,0,0,494,350,0,0,21,50,51,0,0,305,343,0,0,8904,68242,12,14,,13,14,,16,,,8,17,,,9,,,,
111412183925455_146455067087833,https://www.facebook.com/sjjersey/posts/146455067087833,"Entrevista a nuestro Gerente General - Doctor Gilberto Valderrábano. #SjJersey #HechoEnEcuador",SharedVideo,,,"07/31/2020 08:43:29 AM"," ",811,811,0,958,958,0,18,13,14,0,0,564,476,0,0,17,0,0,0,0,111,115,0,0,0,1440683,,8,,,8,,13,,,,14,,,,,,,
111412183925455_146135037119836,https://www.facebook.com/sjjersey/posts/146135037119836,"Excelente recomendación que recibimos de Ursula Strenge sobre nuestra tela, un saludo especialmente para nuestros queridos emprendedores que elaboran mascarillas con tela antifluido #SjJersey
#CalidadQueTeProtege #HechoEnEcuador",Video,,,"07/30/2020 02:12:52 PM"," ",1023,1023,0,1349,1349,0,51,34,43,0,0,669,468,0,0,31,110,113,0,0,423,448,0,0,10227,28928,5,21,,5,24,,24,,,15,28,,,15,,,,
111412183925455_145943273805679,https://www.facebook.com/sjjersey/posts/145943273805679,"!Todos estamos en riesgo, nuestra responsabilidad es cuidarnos!

!Usemos la mascarilla de Tejidos antilfuido SJ JERSEY y contribuye a reducir el riesgo de contagio en el mundo!

Pensemos en el día después del COVID. 
#SjJersey #CalidadQueTeProtege #HechoEnEcuador #PostCOVID",Photo,,,"07/30/2020 06:00:01 AM"," ",1061,1061,0,1239,1239,0,27,10,11,0,0,690,595,0,0,24,0,0,0,0,0,0,0,0,0,0,2,20,,2,21,,4,6,,,5,6,,,,,,
111412183925455_145765283823478,https://www.facebook.com/sjjersey/posts/145765283823478,"EN VIVO CON RADIO FOREVER",SharedVideo,,,"07/29/2020 04:49:17 PM"," ",809,809,0,919,919,0,18,15,19,0,0,596,521,0,0,16,0,0,0,0,144,145,0,0,0,4016938,,6,,,6,,15,,,,19,,,,,,,
111412183925455_145684757164864,https://www.facebook.com/sjjersey/posts/145684757164864,"EN VIVO  - Hablamos sobre la campaña Cuidado con calidad y conciencia social. #SjJersey #HechoEnEcuador",SharedVideo,,,"07/29/2020 11:39:17 AM"," ",762,762,0,869,869,0,14,9,11,0,0,546,476,0,0,14,0,0,0,0,129,136,0,0,0,3661312,,5,,,5,,9,,,,11,,,,,,,
111412183925455_145646987168641,https://www.facebook.com/sjjersey/posts/145646987168641,"Luzmila Nicolalde Cordero gracias por usar nuestra tela, esta mascarilla es elaborada por productores nacionales, y nosotros apoyamos a los emprendedores y al producto ecuatoriano. #HechoEnEcuador #CalidadQueTeProteje #SjJersey",Photo,,,"07/29/2020 09:27:41 AM"," ",832,832,0,965,965,0,30,14,16,0,0,662,568,0,0,27,0,0,0,0,0,0,0,0,0,0,,16,,4,17,,3,13,,,3,13,,,,,,
111412183925455_145636913836315,https://www.facebook.com/sjjersey/posts/145636913836315,"No podemos correr ni escondernos del enemigo invisible: el Coronavirus.

¡Usemos mascarilla todo el tiempo! Y que mejor si es reusable, de tela antifluido y hecha en Ecuador ¡Mantenerse a salvo!

#SjJersey #HechoenEcuador #CalidadQueTeProtege 

Un video de #UNICEF.",Video,,,"07/29/2020 08:45:26 AM"," ",1254,1254,0,1756,1756,0,39,21,29,0,0,800,577,0,0,28,32,39,0,0,276,366,0,0,7781,80042,10,16,1,12,17,1,14,,,7,19,,,10,,,,
111412183925455_145328870533786,https://www.facebook.com/sjjersey/posts/145328870533786,"!Usa correctamente las mascarillas!
Y el material idóneo son los tejidos #SjJersey antifluido 100% algodón y lycrados!

Se adaptan y amoldan a tu rostro, no se deforman y te permiten respirar.

Pensemos en el día después del COVID. 
 #CalidadQueTeProtege #COTTONUSA #FYBRALYCRA",Photo,,,"07/28/2020 03:01:58 PM"," ",599,599,0,732,732,0,19,13,14,0,0,322,251,0,0,16,0,0,0,0,0,0,0,0,0,0,3,5,,3,5,,3,10,,,3,11,,,,,,
111412183925455_145183907214949,https://www.facebook.com/sjjersey/posts/145183907214949,"ÚLTIMOS DÍAS 
Aprovecha el 10% de DESCUENTO en pagos de contado

Descuentos especiales en pagos con tarjetas de crédito.

¡Difiérelos a 3 y 6 meses plazo sin intereses!
La promoción termina el 1 de agosto

*Aplica condiciones
#CalidadQueTeProtege #HechoEnEcuador #PrecioJusto",Photo,,,"07/28/2020 05:56:39 AM"," ",2350,2350,0,2713,2713,0,129,89,114,0,0,1360,1168,0,0,100,0,0,0,0,0,0,0,0,0,0,19,42,9,20,45,19,68,33,,,81,33,,,,,,
111412183925455_144951633904843,https://www.facebook.com/sjjersey/posts/144951633904843,"!Usa tu mascarilla! !Reduce el riesgo de contagio!
Con los tejidos de punto JERSEY se fabrica mascarillas reutilizables y lavables!

😷Pensemos en el día después del COVID. 
#SjJersey #CalidadQueTeProtege #HechoEnEcuador #PostCOVID",Photo,,,"07/27/2020 02:17:57 PM"," ",647,647,0,770,770,0,20,5,5,0,0,340,261,0,0,18,0,0,0,0,0,0,0,0,0,0,6,13,,6,15,,3,2,,,3,2,,,,,,
111412183925455_144912517242088,https://www.facebook.com/sjjersey/posts/144912517242088,"#SjJersey realizó la entrega de mascarillas para el Hogar Para Sus Niños Fhc
Sabemos que varios niños serán beneficiados de esta donación.
#CalidadQueTeProtege #HechoEnEcuador",Photo,,,"07/27/2020 12:17:29 PM"," ",1688,1688,0,1883,1883,0,117,85,98,0,0,777,699,0,0,68,0,0,0,0,0,0,0,0,0,0,9,42,,9,46,,14,76,,,19,79,,,,,,
111412183925455_143288627404477,https://www.facebook.com/sjjersey/posts/143288627404477,"Aprovecha el 10% de DESCUENTO en pagos de contado

Descuentos especiales en pagos con tarjetas de crédito.
¡Difiérelos a 3 y 6 meses plazo sin intereses!

Promoción válida hasta el 1 de agosto

*Aplica condiciones
#CalidadQueTeProtege #HechoEnEcuador #PrecioJusto",Photo,,,"07/23/2020 07:21:13 AM"," ",914,914,0,1099,1099,0,22,9,10,0,0,487,380,0,0,15,0,0,0,0,0,0,0,0,0,0,6,11,,7,11,,7,3,,,7,3,,,,,,
111412183925455_142453260821347,https://www.facebook.com/sjjersey/posts/142453260821347,"Mercedes Payne sabe que #SjJersey es una empresa que apoya el emprendimiento.

#CalidadQueTeProtege #HechoenEcuador

Pregunta por nuestras telas.",Video,,,"07/21/2020 05:44:32 AM"," ",1648,1648,0,2088,2089,0,104,67,76,0,0,657,453,0,0,49,163,171,0,0,645,713,0,0,9455,28778,16,39,,20,40,,49,,,24,52,,,24,,,,
111412183925455_142166914183315,https://www.facebook.com/sjjersey/posts/142166914183315,"Como parte de nuestra responsabilidad social y apoyo a las Fuerzas Armadas del Ecuador donamos más de 170 kg de tela, el que usarán para realizar material de protección comunitaria de sus colaboradores.

Agradecemos a la institución por su gran apoyo durante la pandemia. #HechoenEcuador #CalidadQueTeProtege #SjJersey
Fuerzas Armadas del Ecuador",Photo,,,"07/20/2020 10:01:54 AM"," ",5841,5841,0,6878,6878,0,613,537,700,1,1,1249,1049,0,0,205,0,0,0,0,0,0,0,0,0,0,38,157,23,45,171,26,167,466,,,217,483,,,,1,,1
111412183925455_140572647676075,https://www.facebook.com/sjjersey/posts/140572647676075,"Las plantaciones de algodón eliminan más gases de efecto invernadero de los que producen. Algodón para un mundo más verde. 

#CalidadQueTeProtege #HechoEnEcuador #TelaEcológica",Photo,,,"07/17/2020 06:00:01 AM"," ",985,985,0,1148,1148,0,23,4,4,0,0,462,372,0,0,17,0,0,0,0,0,0,0,0,0,0,7,14,,7,14,,2,2,,,2,2,,,,,,
111412183925455_140571777676162,https://www.facebook.com/sjjersey/posts/140571777676162,"Nuestra tela 100% algodón es avalada por la licencia internacional COTTON USA. Calidad, Sostenibilidad y Amigable con el ambiente 

#CalidadQueTeProtege #HechoEnEcuador #TelaEcológica",Photo,,,"07/16/2020 08:33:10 AM"," ",1704,1704,0,1994,1994,0,64,26,31,0,0,656,521,0,0,32,0,0,0,0,0,0,0,0,0,0,16,36,3,18,43,9,17,11,,,20,11,,,,,,
111412183925455_140342884365718,https://www.facebook.com/sjjersey/posts/140342884365718,"Calidad de principio a fin, el algodón que usamos en SJ JERSEY es Cotton USA. Más resistente y de mayor longitud. 

#CalidadQueTeProtege #HechoEnEcuador #TelaEcológica",Photo,,,"07/15/2020 06:04:01 PM"," ",1180,1180,0,1354,1354,0,38,16,17,0,0,493,395,0,0,22,0,0,0,0,0,0,0,0,0,0,9,21,,9,23,,8,9,,,8,9,,,,,,
